종목명,기준일,수주잔고(억원)
SUN&L,20241114,1302.8
SUN&L,20240814,1205.4
삼영,20260514,247.3
삼영,20251114,236.8
덕성,20260515,29.8
덕성,20251114,36.3
덕성,20250814,42.3
덕성,20250515,38.4
덕성,20241114,30.8
덕성,20240814,28.0
부산주공,20260515,1428.8
부산주공,20260319,1757.4
부산주공,20251114,507.4
부산주공,20250814,972.6
부산주공,20250515,1495.3
부산주공,20250318,1673.1
부산주공,20241114,718.8
부산주공,20240814,1174.4
녹십자홀딩스,20260515,486.5
녹십자홀딩스,20251114,187.2
녹십자홀딩스,20250814,412.0
코스모화학,20260515,25.0
코스모화학,20260318,25.0
코스모화학,20251114,25.0
코스모화학,20250814,25.0
코스모화학,20250515,11.2
코스모화학,20250318,13.5
코스모화학,20241114,20.0
코스모화학,20240814,29.1
한국공항,20260515,1561.6
한국공항,20251114,4296.3
한국공항,20250814,2824.2
한국공항,20250515,1400.8
한국공항,20241114,4136.5
한국공항,20240814,2737.4
SK디스커버리,20260515,8279.2
SK디스커버리,20260317,8010.1
SK디스커버리,20251113,7206.6
SK디스커버리,20250813,7879.8
SK디스커버리,20250515,8827.4
SK디스커버리,20250318,9793.2
SK디스커버리,20241114,1076.0
SK디스커버리,20240814,1416.4
대원전선,20260508,537.9
대원전선,20251112,418.4
대원전선,20250813,410.4
대원전선,20250509,409.2
대원전선,20250313,456.8
대원전선,20241108,458.0
대원전선,20240813,467.8
대림통상,20260515,591.0
대림통상,20251114,723.1
대림통상,20250814,671.4
대림통상,20250515,587.9
대림통상,20241114,652.6
대림통상,20240814,567.4
벽산,20260515,1246.0
벽산,20251114,1141.0
벽산,20250814,1239.5
벽산,20250515,1176.6
벽산,20241114,1242174.0
벽산,20240814,1403613.3
대덕,20260515,23.7
대덕,20251114,31.1
대덕,20250814,12.8
대덕,20250515,7.9
대덕,20241114,7.8
대덕,20240814,6.8
이건산업,20260515,276.9
이건산업,20251114,548.4
이건산업,20250814,484.0
이건산업,20250515,503.1
이건산업,20241114,530.6
이건산업,20240814,611.7
KBI동양철관,20260515,12.7
KBI동양철관,20260318,31.8
KBI동양철관,20251113,31.8
KBI동양철관,20250814,31.8
KBI동양철관,20250515,31.8
KBI동양철관,20250317,19.8
KBI동양철관,20241114,19.8
KBI동양철관,20240814,19.8
신원,20260515,2096.9
신원,20251114,1583.0
신원,20250814,1890.0
신원,20250515,1742.6
신원,20250320,5612.8
신원,20241114,1344.7
